File Name,Folder Path,File Type,Total Lines,Blank Lines,Code Lines,Comment/Doc Lines,Purpose/Description,Quality
debug_tracker.R,modules/tracker,r,27,5,16,6,Unknown purpose,Poor
derived_metrics_template.xlsx,modules/tracker,xlsx,41,0,,,Configuration template for user input,N/A
diagnose_wave3_columns.R,modules/tracker,r,71,12,47,12,Unknown purpose,Needs Improvement
formatting_utils.R,modules/tracker,r,101,16,37,48,Utility functions and helper methods,Solid
master_dictionary_template.csv,modules/tracker,csv,5,0,,,Configuration template for user input,N/A
question_mapper.R,modules/tracker,r,557,105,270,182,Unknown purpose,Solid
question_mapping_template.xlsx,modules/tracker,xlsx,51,1,,,Configuration template for user input,N/A
run_ccs_tracking.R,modules/tracker,r,27,4,18,5,Main execution script to run the module,Poor
run_tracker.R,modules/tracker,r,471,72,247,152,Main execution script to run the module,Solid
run_tracker_gui.R,modules/tracker,r,688,90,525,73,Launch beautiful tracking analysis GUI,Solid
test_enhancements.R,modules/tracker/test_data,r,152,27,88,37,Test suite for module functionality,Needs Improvement
test_mvt.R,modules/tracker/test_data,r,36,7,23,6,Test suite for module functionality,Needs Improvement
test_phase1.R,modules/tracker/test_data,r,119,25,62,32,Test suite for module functionality,Solid
test_phase2.R,modules/tracker/test_data,r,33,7,20,6,Test suite for module functionality,Needs Improvement
test_phase3.R,modules/tracker/test_data,r,110,20,77,13,Test suite for module functionality,Needs Improvement
test_quick_fixes.R,modules/tracker,r,163,25,110,28,Test suite for module functionality,Needs Improvement
test_wave_history.R,modules/tracker,r,145,25,93,27,Test suite for module functionality,Needs Improvement
tracker_config_loader.R,modules/tracker,r,331,49,165,117,Configuration loading and validation,Solid
tracker_output.R,modules/tracker,r,2161,380,1385,396,Output generation and file export,Solid
tracking_config_template.xlsx,modules/tracker,xlsx,66,0,,,Configuration loading and validation,N/A
trend_calculator.R,modules/tracker,r,2479,441,1540,498,Unknown purpose,Solid
validation_tracker.R,modules/tracker,r,497,91,299,107,Input validation and error checking,Solid
verify_tracker_fix.R,modules/tracker,r,114,27,67,20,Unknown purpose,Needs Improvement
wave_data_template.csv,modules/tracker,csv,101,0,,,Data loading and preprocessing,N/A
wave_loader.R,modules/tracker,r,581,96,276,209,Unknown purpose,Solid
config_utils.R,shared,r,355,49,167,139,Configuration loading and validation,Solid
formatting.R,shared,r,317,50,117,150,Unknown purpose,Solid
weights.R,shared,r,326,41,137,148,Unknown purpose,Solid
Confidence_Config_Template.xlsx,templates,xlsx,57,0,,,Configuration loading and validation,N/A
Crosstab_Config_Template.xlsx,templates,xlsx,98,1,,,Configuration loading and validation,N/A
README.md,templates,md,156,35,,,Module overview and general information,N/A
Segment_Config_Template.xlsx,templates,xlsx,49,0,,,Configuration loading and validation,N/A
Survey_Structure_Template.xlsx,templates,xlsx,108,1,,,Configuration template for user input,N/A
Tracker_Config_Template.xlsx,templates,xlsx,62,0,,,Configuration loading and validation,N/A
Tracker_Question_Mapping_Template.xlsx,templates,xlsx,48,0,,,Configuration template for user input,N/A
Turas setup variable configuration.docx,templates,docx,174,1,,,Configuration loading and validation,N/A
README.md,test_projects,md,19,5,,,Module overview and general information,N/A
compare_functions.sh,test_projects,sh,30,5,,,Shell script for automation,N/A
compare_outputs.R,test_projects,r,116,17,89,10,Output generation and file export,Needs Improvement
FILE_LIST.txt,test_projects/confidence_module_review,txt,20,0,,,Text documentation or notes,N/A
MANIFEST.md,test_projects/confidence_module_review,md,143,38,,,Documentation file,N/A
README.md,test_projects/confidence_module_review,md,537,140,,,Module overview and general information,N/A
REVIEW_CHECKLIST.md,test_projects/confidence_module_review,md,815,231,,,Documentation file,N/A
TECHNICAL_SUMMARY.md,test_projects/confidence_module_review,md,695,155,,,Technical documentation for developers,N/A
00_main.R,test_projects/confidence_module_review/core_code,r,620,111,353,156,Main orchestrator script that coordinates module workflow,Solid
01_load_config.R,test_projects/confidence_module_review/core_code,r,610,90,349,171,Configuration loading and validation,Solid
02_load_data.R,test_projects/confidence_module_review/core_code,r,414,58,221,135,Data loading and preprocessing,Solid
03_study_level.R,test_projects/confidence_module_review/core_code,r,392,51,165,176,Unknown purpose,Solid
04_proportions.R,test_projects/confidence_module_review/core_code,r,581,63,213,305,Unknown purpose,Solid
05_means.R,test_projects/confidence_module_review/core_code,r,589,66,264,259,Unknown purpose,Solid
07_output.R,test_projects/confidence_module_review/core_code,r,849,142,509,198,Output generation and file export,Solid
utils.R,test_projects/confidence_module_review/core_code,r,423,63,161,199,Utility functions and helper methods,Solid
EXAMPLE_WORKFLOWS.md,test_projects/confidence_module_review/documentation,md,490,113,,,Example workflows and use cases,N/A
MAINTENANCE_GUIDE.md,test_projects/confidence_module_review/documentation,md,1515,320,,,Graphical user interface,N/A
QUICK_START.md,test_projects/confidence_module_review/documentation,md,261,67,,,Quick start guide for new users,N/A
README.md,test_projects/confidence_module_review/documentation,md,191,45,,,Module overview and general information,N/A
USER_MANUAL.md,test_projects/confidence_module_review/documentation,md,1137,335,,,Detailed user manual and instructions,N/A
create_example_config.R,test_projects/confidence_module_review/examples,r,359,46,247,66,Configuration loading and validation,Solid
run_confidence_gui.R,test_projects/confidence_module_review/ui_and_tests,r,407,55,304,48,Launch confidence intervals analysis GUI,Solid
test_01_load_config.R,test_projects/confidence_module_review/ui_and_tests,r,562,121,371,70,Configuration loading and validation,Solid
test_utils.R,test_projects/confidence_module_review/ui_and_tests,r,547,106,343,98,Utility functions and helper methods,Needs Improvement
run_tracker_debug.R,test_projects,r,46,9,23,14,Main execution script to run the module,Needs Improvement
test_bug_fixes.R,test_projects,r,191,29,132,30,Test suite for module functionality,Solid
README.md,test_projects/test_composite,md,40,11,,,Module overview and general information,N/A
test_data.csv,test_projects/test_composite,csv,11,0,,,Data loading and preprocessing,N/A
README.md,test_projects/test_data,md,5,2,,,Module overview and general information,N/A
TEST_NEW_MODULES.md,test_projects/test_data,md,242,56,,,Test suite for module functionality,N/A
conjoint_test_config.xlsx,test_projects/test_data,xlsx,46,0,,,Configuration loading and validation,N/A
conjoint_test_data.csv,test_projects/test_data,csv,91,0,,,Data loading and preprocessing,N/A
generate_conjoint_test_data.R,test_projects/test_data,r,46,7,33,6,Data loading and preprocessing,Poor
keydriver_test_config.xlsx,test_projects/test_data,xlsx,51,0,,,Configuration loading and validation,N/A
keydriver_test_data.csv,test_projects/test_data,csv,101,0,,,Data loading and preprocessing,N/A
README.md,tests,md,233,53,,,Module overview and general information,N/A
testthat.R,tests,r,47,5,27,15,Unknown purpose,Needs Improvement
test_config_baseline.R,tests/testthat,r,85,17,48,20,Configuration loading and validation,Needs Improvement
test_formatting_baseline.R,tests/testthat,r,146,34,83,29,Test suite for module functionality,Needs Improvement
test_shared_config.R,tests/testthat,r,372,76,257,39,Configuration loading and validation,Needs Improvement
test_shared_formatting.R,tests/testthat,r,334,64,202,68,Test suite for module functionality,Needs Improvement
test_shared_functions.R,tests/testthat,r,198,44,104,50,Test suite for module functionality,Needs Improvement
test_shared_weights.R,tests/testthat,r,361,89,231,41,Test suite for module functionality,Needs Improvement
test_weights_baseline.R,tests/testthat,r,106,27,51,28,Test suite for module functionality,Needs Improvement
validate_tests.sh,tests,sh,71,10,,,Input validation and error checking,N/A
README.md,tools,md,39,12,,,Module overview and general information,N/A
check_documentation_files.bat,tools,bat,55,8,,,Windows batch script,N/A
check_documentation_files.sh,tools,sh,46,7,,,Shell script for automation,N/A
check_excel_sheets.R,tools,r,12,2,9,1,Unknown purpose,Poor
create_all_templates.R,tools,r,646,90,503,53,Script to create/generate example or test data,Needs Improvement
create_all_templates.py,tools,py,548,105,,,Script to create/generate example or test data,N/A
Survey_Structure_Template_Annotated.xlsx,templates,xlsx,N/A,N/A,N/A,N/A,Comprehensive annotated template for survey structure definition with inline documentation for all parameters,N/A
Crosstab_Config_Template_Annotated.xlsx,templates,xlsx,N/A,N/A,N/A,N/A,Comprehensive annotated template for crosstab configuration with all 21 settings documented,N/A
Tracker_Config_Template_Annotated.xlsx,templates,xlsx,N/A,N/A,N/A,N/A,Comprehensive annotated template for tracker configuration with waves and settings documented,N/A
Tracker_Question_Mapping_Template_Annotated.xlsx,templates,xlsx,N/A,N/A,N/A,N/A,Comprehensive annotated template for question code mapping across waves,N/A
Confidence_Config_Template_Annotated.xlsx,templates,xlsx,N/A,N/A,N/A,N/A,Comprehensive annotated template for confidence interval analysis with methods documented,N/A
Segment_Config_Template_Annotated.xlsx,templates,xlsx,N/A,N/A,N/A,N/A,Comprehensive annotated template for k-means segmentation with 37 parameters documented,N/A
TEMPLATE_REFERENCE_GUIDE.md,templates,md,456,N/A,N/A,N/A,Definitive quick-reference guide for all TURAS configuration templates with complete parameter listings,N/A
ANNOTATED_TEMPLATES_SUMMARY.md,templates,md,423,N/A,N/A,N/A,Summary of annotated template features and usage guidelines,N/A
